Tag,Song Count,AUROC,AUPRC,Time to Train
classic pop and rock,57929,0.5677291747854231,0.682403763845481,126
american,54737,0.5429454094345122,0.6589347899537674,108
rock,49449,0.5264948976103123,0.6777005205224684,115
british,46432,0.5284169516087923,0.6586656235819177,141
uk,45467,0.521528782480869,0.6860833268789245,110
rock and indie,42129,0.5411500572552401,0.7037922607407991,110
english,33673,0.5257169342607314,0.6704074422362866,105
folk,26449,0.6525841261519565,0.74222943680314,202
pop,22524,0.532527499374009,0.676294276135469,205
punk,21137,0.6684206163546379,0.7473643835939755,200
electronic,18031,0.620690946524871,0.7148439304599621,202
usa,16205,0.6197952989490289,0.7102880016053382,229
hip hop rnb and dance hall,13605,0.6633042494513304,0.7504440626624604,324
metal,13529,0.6625041077883667,0.7642023911858556,359
german,13442,0.5510305686713093,0.6938512616336456,471
jazz,13289,0.6930135792906535,0.7662099842588386,507
alternative rock,12893,0.5804035102678917,0.7248907344459478,876
pop and chart,11234,0.6394786144273883,0.7551143731752699,963
dance and electronica,10306,0.6280615997581128,0.7186059596547116,111
european,8550,0.5906394699333565,0.6753625900745732,100
french,8423,0.5556279379950877,0.6639163634906318,101
england,8414,0.6255430631402363,0.7214556752469218,110
hard rock,8055,0.582938263861954,0.7080693569322916,1067
jazz and blues,7099,0.7388480159320598,0.8098959745170202,110
progressive rock,6853,0.621103750640041,0.707216909353273,109
blues,6760,0.6419726620572286,0.7236853222078198,109
am\xc3\xa9ricain,6480,0.5421786150978787,0.7116314122884017,112
indie rock,6399,0.5683141234390442,0.7220905419592063,109
production music,6392,0.683302826126358,0.7585810629543829,110
hip hop,5902,0.6603506299763913,0.754945889548774,160
soul and reggae,5762,0.5359526902916536,0.6670327171218776,118
classical,5758,0.7848646863634593,0.8484364679473344,200
finnish,5712,0.6313237827557681,0.753962816645103,228
hip-hop,5669,0.6726060967621187,0.7609896279420961,263
rnb,5389,0.6299208406566333,0.7281455884420869,582
alternative,5294,0.5600280949812749,0.7100323640230629,105
britannique,5189,0.5278947102766001,0.7027660768644697,133
canadian,5185,0.5330896235259031,0.6925626057790946,1103
heavy metal,5174,0.6484913847835798,0.7536375029336906,93
electronica,5087,0.6287319719900901,0.7185152644693158,98
swedish,4847,0.60976079863057,0.7326628575101184,91
new wave,4680,0.563617675103613,0.6803240539764586,95
soundtrack,4586,0.7397441095062416,0.8059260872267466,102
easy listening soundtracks and musicals,4307,0.7147350507805434,0.786232836357149,94
world,4243,0.5985358198093936,0.6926030098832653,94
soul,4140,0.5356584661113893,0.6786509766753883,94
scottish,3864,0.5444371715849379,0.6690815439709747,97
punk rock,3820,0.6902105373340119,0.764842408580629,92
london,3790,0.5933571258003103,0.704416021293851,92
italian,3739,0.5653384435308897,0.6475830367187128,101
norwegian,3637,0.5292888923581297,0.6279402952328367,97
united states,3525,0.5728281679100276,0.7215327908270631,93
composer,3349,0.7414356653150602,0.8036712582494137,94
80s,3326,0.5756500311098014,0.6645473537653693,97
blues rock,3272,0.6007290476317025,0.6980989468970238,95
synthpop,3222,0.602772132300115,0.7366796202915911,100
experimental,3206,0.5772551886483508,0.6621595189167768,96
latin,3169,0.5569629497012984,0.6806216442580899,92
pop rock,3059,0.5600204498977506,0.722096230142123,101
psychedelic rock,2896,0.5626734489770235,0.6650111008000876,100
alternative metal,2893,0.6468385965497311,0.7644051175558984,95
dance,2879,0.6133749182824143,0.721444080663771,98
chinese,2859,0.6042478320132225,0.7216549379744495,96
ambient,2845,0.7122391611895429,0.7819918081551878,103
thrash metal,2790,0.7305945703734607,0.7980508022352936,150
90s,2730,0.5444460325252763,0.6261709184401063,163
rock and roll,2611,0.6714835870163213,0.759714590964591,179
art rock,2606,0.5648119379282965,0.6517309281740263,174
dutch,2597,0.53287731466118,0.6807335687208753,153
reggae,2570,0.526138923893535,0.6977026454050728,143
hiphop,2542,0.6557007355787844,0.7646809180301237,115
folk rock,2510,0.636578507371941,0.7334271637694052,104
post-punk,2501,0.5714692763082373,0.7013394455392491,101
rap,2497,0.6577515120706922,0.7450819898608003,103
australian,2489,0.5246328104147635,0.7100316713129832,107
warp,2418,0.6193020471306264,0.7212769873189346,103
united kingdom,2356,0.5392908062810975,0.7061095291121461,92
us,2348,0.5342007800469208,0.6687143150756755,95
industrial,2305,0.6346204030466286,0.7421797298090087,97
techno,2263,0.6289126693495167,0.7301228323284731,100
death metal,2261,0.7247584088413606,0.7993282291806518,96
70s,2257,0.5642778268747588,0.6749994929144334,93
indie,2197,0.5469736505046061,0.7039800789974784,101
4ad,2194,0.6042339815887338,0.7010089991711217,99
swing,2185,0.7131938301636443,0.7811304577232555,93
house,2143,0.6617351196301817,0.7548413272326548,96
black metal,2085,0.7112959936611698,0.7867132183761405,103
singer,2076,0.5905096654815144,0.6857757938906747,92
funk,2054,0.5589024919594915,0.6647603061007831,92
france,2051,0.5444689770252945,0.6841267934391332,94
00s,2050,0.5317778671838878,0.6762073664467957,97
soft rock,2023,0.5727844063923142,0.6890483711444314,96
irish,1987,0.5830711076656371,0.6883851350326827,100
trance,1926,0.7076326318503989,0.7771830971606359,102
downtempo,1914,0.6337555632605966,0.7124205731671583,104
california,1882,0.7442954335470504,0.8055390506370899,98
ska,1864,0.6770728854387491,0.7589844042169834,110
hardcore punk,1801,0.7271758850557136,0.7904922988335611,111
gothic rock,1801,0.5798731379009321,0.6742527901271826,94
canada,1773,0.5641933068526359,0.6836429265923131,95
industrial metal,1760,0.6771148868205099,0.7741008031723906,100
indie pop,1741,0.5914089861966925,0.6939527585349402,96
producer,1740,0.5531282601348869,0.6978129333765845,94
jamaican,1663,0.6152198536245354,0.7149611537929125,95
experimental rock,1642,0.545563639720383,0.6511647774163907,96
disco,1552,0.5782167050747391,0.7228795190942129,93
adult contemporary,1545,0.5398708338910453,0.649599918706753,97
progressive metal,1523,0.7138935810810811,0.7835828512014492,106
francophone,1517,0.5732569570477919,0.6860698884533762,95
eurovision,1493,0.6309576596857448,0.7428045773086017,95
fran\xc3\xa7ais,1482,0.549862225463976,0.6351892147361362,99
new york,1470,0.6050826478248535,0.7094005619805099,94
male vocalists,1436,0.5513108037337112,0.680150627786731,93
brazilian,1421,0.6290167294455115,0.7135888304282636,99
mandarin,1416,0.6183097877089305,0.7170847520110284,97
gospel,1414,0.6604685071541876,0.736984727262294,105
welsh,1400,0.5711043702954725,0.7084249930696807,97
christian,1397,0.648231653772042,0.7452502714937206,94
instrumental,1384,0.6516466000088206,0.7388455040563915,93
glam rock,1368,0.5260394777636157,0.6649917066939819,96
hardcore,1358,0.6939481292680787,0.7775445738212967,111
compositeur,1324,0.5615627822944895,0.6512105743612713,99
melodic death metal,1322,0.7402595300227284,0.8080935298112993,95
greek,1317,0.5558000822706705,0.6564849171084688,96
spanish,1293,0.5415079365079366,0.6517394659506544,95
industrial rock,1287,0.6409155245624332,0.777643758094025,101
the netherlands,1282,0.55923205772452,0.6828189282945407,92
post-rock,1272,0.6387040887040887,0.7353385494232332,103
singer-songwriter,1266,0.6879709313444253,0.7777397309492905,96
idm,1260,0.633455813077068,0.7188899867465359,95
bebop,1228,0.7681991046429801,0.8291697674902163,100
trip-hop,1227,0.6259635637200616,0.7299472098005879,93
big band,1210,0.7542241794319356,0.8191195700954829,111
australia,1208,0.5443661316950457,0.7007111066803197,155
post-grunge,1199,0.7214285714285714,0.8004116498535633,163
espa\xc3\xb1ol,1192,0.5747291519110203,0.7126418932212457,159
hong kong,1184,0.6188515506453208,0.7274873319131397,158
10s,1182,0.5339797189112258,0.6575824572581501,159
country rock,1148,0.6703792097586847,0.7672858086555534,141
goth,1146,0.5860001544949179,0.695984088619811,106
taiwanese,1135,0.6256645741300473,0.7100248046512745,104
lyricist,1122,0.5628448665762099,0.7030215004111698,107
electro,1073,0.620904259509511,0.7093828641445286,94
dance-pop,1059,0.677940446650124,0.7753507659499292,101
los angeles,1052,0.652347094322287,0.7331619583307344,98
electro-industrial,1043,0.7046718987984429,0.7884243439356764,95
classic rock,1037,0.618684659919197,0.7259560762832217,92
britpop,1032,0.5376712328767124,0.6342932087586687,102
parolier,1031,0.5493636050911593,0.6666289907775976,96
chanteur,1029,0.5655760025974842,0.6981358947599737,91
hard bop,1019,0.7734108221696874,0.8137407891578691,95
new age,1008,0.6825665859564165,0.7536871734949144,97